track_name,artist_name,track_duration_ms,popularity,artist_genres,album_name,album_release_date,track_id,album_id,artist_ids
dumb dumb,mazie,125256,68,"modern indie pop, sped up",the rainbow cassette,2021-08-25,4qbEaaJ29p32GI8EWQmm6R,7uzmNefPoRgc5Pi9DS00CC,4adSXA1GDOxNG7Zw89YHyz
Love Song,Mausio,176142,31,tekk,Love Song,2023-04-07,2ekhJNuxeoQ9Q84dFtknP7,1V9nXTFcfUBCPq5hIGfoiU,5yzLRjAu6ni4Bb3fQDED2q
Midnight Sadness,"Besomorph, broke, RIELL, WISNER",129600,36,"alt z, dark r&b, slap house, traprun",Midnight Sadness,2022-09-22,6d9P9mgBNZFytbTl9ZuEgL,0B6fFmVrMW8TIl8rjNw5ou,"619CzMJPPWrCeZwx5qw6ko, 79sjpbumf3CjvJJI2Jsb2b, 0xD6n0wj7aqV5g5LcRNBUd, 6EkmE2hY7VYyfi6uz9BT0L"
I'm Fantastic,Paper Idol,186755,34,,I'm Fantastic,2020-02-07,4J0jBJuHaXX0XPyGquAJuO,0rqhwcVbKtKb5SA9jYVRiU,6dewigIOIcG6m1XGsG4Mc3
PRESSURE,AViVA,179727,32,"alt z, vapor pop",PRESSURE,2023-01-13,4YfxPg0O9ktKNa9thvqEVH,3POERynz9qYEllJ7kYgpVh,50tDsT4wwq8FCMJNkn1D67
Demon Mode,"Stileto, AViVA",130201,55,dark r&b,Demon Mode,2023-02-09,3p7gSk05k1edkBezyjqVJa,0Bgz6F1MCX1YQVx2RBc3m3,"2iwUUr9Udu8z6L2ZJcYr6i, 50tDsT4wwq8FCMJNkn1D67"
Not Another Rockstar,Maisie Peters,149053,57,"alt z, uk pop",Not Another Rockstar,2022-10-07,43pulC9QdGwabXUtVHYnjY,1kiowmIzvFyO1hXi1Wyqkn,2RVvqRBon9NgaGXKfywDSs
All Comes Crashing - CVCHE Remix,"Metric, CVCHE",295507,21,"canadian indie, canadian rock, indie rock, indietronica, metropopolis, neo-synthpop",All Comes Crashing (CVCHE Remix),2022-12-09,3HJmf591A9KspqCVPEiUja,7pySoRsn8T7Msc6i53ItAI,"1rCIEwPp5OnXW0ornlSsRl, 0AVoyEEWwMPhMIiBujqkQP"
Kitchen Song,Tessa Violet,155080,25,"alt z, indie pop, pov: indie",Kitchen Song,2022-08-09,6nEQeVxSS1nPm0AUlfBYU4,2p4DiedVnmtANpvERNAUq6,5DD5GZd4ElmQTy9NleMvKJ
Kolme toivetta,KUUMAA,181649,45,"finnish dance pop, finnish pop",Kolme toivetta,2021-05-07,7od4R4bHKFDMxFIcF4Wuiz,6QQgMURAVPAhewIpFmhF67,3YC5DVJDjyazvB8hxJSybr
Wishful Drinking,Tessa Violet,195110,43,"alt z, indie pop, pov: indie",Bad Ideas,2019-10-25,0Pq9K4yZlPwjjRMeIkBCpg,39y7WSuhOKLmxWP7ElwWFl,5DD5GZd4ElmQTy9NleMvKJ
mietin sua pahalla,pehmoaino,183268,42,finnish pop,mietin sua pahalla,2023-05-05,4Ac4YAaS8HkCuIX7zr8Ycu,2eMaovAMKvZa17Yx3vnVuX,4Qk8DhjJRW0Dwd039aVOfr
Pretend,"Stileto, Liza",142608,46,dark r&b,Pretend,2023-03-17,3WYREYBjEmlijoPN2MVDd7,31b3UsEAWJxuJ9D2XvHPlO,"2iwUUr9Udu8z6L2ZJcYr6i, 6k1PUqfJwVvqumfOUCPPzh"
Push Up - Main Edit,Creeds,139300,81,hypertechno,Push Up (Main Edit),2023-03-31,3AjSfp5FDvwtMU9XBsbS8j,3v5BP6gPT1nNU9rjs57fF0,2gW0M5fn2r7Lo4Hn1r8HZ5
Jag kommer,Veronica Maggio,202746,62,swedish pop,Satan i gatan (Bonus Version),2011-01-01,5M2y8QdDepGYMsWyxhoxQU,2fOs6I0CgvaZj9agU8EAlH,2OIWxN9xUhgUHkeUCWCaNs
MONSTERS IN MY MIND,margø,124000,0,alt z,MONSTERS IN MY MIND,2022-10-28,1OFpHG8xgfp7NnmJRjpNsK,1q1jARykCzN5uVVHRtKxbZ,2yClxSQHoqAeiYVhafSWKU
Worms,Ashnikko,148690,54,"alt z, escape room",Worms,2023-03-02,5PlGxNgE62io6OBc1BsIaq,1iMYhGsjfZIDKuiF73D6cI,3PyJHH2wyfQK3WZrk9rpmP
Choke,Royal & the Serpent,137053,51,"alt z, indie electropop, modern alternative pop",get a grip,2020-10-16,5hqK5evNmuLtIiQs4Z5N1M,2Yn5QhZEEoDl1MDMVjY3Ao,64EHXDoln95lnccszdPum0
Feel Good (If It Was Easy),"Odd Chap, Elle & The Pocket Belles",209497,11,electro swing,Feel Good (If It Was Easy),2023-07-21,2r4RTDw9yS5f5ZgxK4C3nU,19BEjnIizZsrRRoNojv3Ui,"2bUYKdepfgDuZiRQJdvooU, 0MbDNDhsDB35CyvApzybJt"
Will I Ever Love?,Anya Nami,130860,56,,Will I Ever Love?,2024-02-02,1h42H229e4oEo0BxfwIb4r,7irh20Gsy14fQoTngkDS5B,1A7NzAUPSwbUmfyGEmRM7h
What Feels Like Eternity,Metric,217813,25,"canadian indie, canadian rock, indie rock, indietronica, metropopolis, neo-synthpop",What Feels Like Eternity,2022-06-08,5qM7wBA2RnGBLjyzsNSgGK,0xid9xFyq8ly9STtakIAaE,1rCIEwPp5OnXW0ornlSsRl
Samo mi se spava,Luke Black,173592,43,,Samo mi se spava,2023-02-02,7wLxoyWoClSUAlKGjaefQn,2lChE0kdOhcD7p6U0e8RVc,3sPiEqLcANa5kAp5RnEHNq
Lemonade,Fox Stevenson,192917,43,"complextro, dancefloor dnb, electro house",Lemonade,2024-02-23,34URhzu6NVS1QiFfvkE1Q3,0E4HEys0ZdiGCO3hxaKvVd,2BQWHuvxG4kMYnfghdaCIy
Devil I Know,Allie X,172880,52,"alt z, canadian electropop, canadian pop, dark pop, electropop, metropopolis",Cape God,2020-02-21,6KF3l0dtaqHanpwJVmz3mB,47wRFo2As9zFmg6E5VVa8H,0wnYgCeP013HkKoOyC5V32
Down Under (feat. Colin Hay),"Luude, Colin Hay",158774,64,aussietronica,Down Under (feat. Colin Hay),2021-11-19,7AVyve7cFYTd51ha5i9kE2,64xmSwJJbFQMf63AFYZXpW,"20cmhoGvN0eyzhmsHJH1Mg, 5mxB08ktCukEhGMg2YZeEv"
Sand,Dove Cameron,219586,51,pop,Alchemical: Volume 1,2023-12-01,7lcptQMdfkgUAQ3Ek83K5V,4kC5hseZbGaAjiJvr9Hk55,2W8yFh0Ga6Yf3jiayVxwkE
BAD BITCH,Tessa Violet,137995,0,"alt z, indie pop, pov: indie",MY GOD!,2023-07-14,5X83lDwpA03tST04pMfX4N,39w0IKP0nvtYOWZsg2JHXu,5DD5GZd4ElmQTy9NleMvKJ
Dirty Little Animals (From the series Arcane League of Legends),"BONES UK, Arcane, League of Legends",205188,54,slayer,Dirty Little Animals (From the series Arcane League of Legends),2021-11-13,2ZuDGsKSJpQdJmpknJ7ypF,2OGZHtCzPL6uk1kEPvFqIC,"16kd5X3pBMOtXdLlX5LcAw, 57nPqD7z62gDdq37US9XJR, 47mIJdHORyRerp4os813jD"
Balling - LÄUFF Remix,"Vibe Chemistry, LÄUFF",260689,61,uk dance,Balling (LÄUFF Remix),2023-08-18,3PsQcSCxyOm5l96rQfEjVA,2VwGReme07lzMsGY5JHEXe,"1L5GuSYb4gktP74dqFkJpi, 5hJX0u5GJfdXV7hWGm7e73"
Viimeisiä sanoja,Bee,209052,44,"finnish dance pop, finnish pop",Viimeisiä sanoja,2023-02-10,3STatpBP2zJ1CTca7PRSKp,6xI7ijnlOk4KAdfu5nUuD0,4pR2IcLEPu4KFVAmanNG1f
Selfish,Good Boy Daisy,150657,33,phoenix indie,Selfish,2022-01-21,7eWHF1vaNW7W8W8GotYrlq,67pLH9BcT0kwLCfFErRuvO,48LeC49ZUI6oXfZrTA2QlL
OBLIVION,AViVA,164443,22,"alt z, vapor pop",OBLIVION,2022-10-14,24sSObDtCCl5PbYSIL06Kw,7rbqKgDpCEcTqA8D9pZ6bB,50tDsT4wwq8FCMJNkn1D67
Forgive And Forget,AViVA,158754,23,"alt z, vapor pop",Forgive And Forget,2023-03-24,2MrEdxp4r5dv6npQidfHNC,0FiWYz6w75d66of4Hd55rS,50tDsT4wwq8FCMJNkn1D67
Cha Cha Cha,Käärijä,175161,67,finnish pop,Cha Cha Cha,2023-01-17,5RX8T3EoTuXcybAxe6oPAw,5rBqeRlrrzR77MAkbgAmS6,6LkMGN0t3HDNL8hIvma70r
Mental Funeral,EHLE,194855,45,"alt z, dark r&b",Mental Funeral,2020-05-15,4fmDKKtLo6qXeETmF6xKwr,3yPAofIW1yhRhvN0x9u6Pg,2OaUwJcloDhX02J3qLPw7q
Cry For Me,HUNNY,213706,41,"indie pop, pov: indie",Pain / Ache / Loving,2015-10-09,4tyJ6cRDQOQMeZLwMqFjax,6JnNMpc7Aekms1ly5U2OLq,5rebfYbZVIhbRVcRKWVOAh
unamerican beauty,XYLØ,270000,22,"alt z, indie poptimism, la pop",unamerican beauty,2022-06-10,6QZtJumgFJwVrb7O3x1Zu7,2K6AB4euy0NOpVcKbr0OlN,6ioOEWNNGK40H8xrGj6XPW
Loser,HUNNY,185600,15,"indie pop, pov: indie",Homesick,2022-07-22,7uC88PADBOV6yYDsF5ib5t,6PmqLs9QBsOq6nWGlbgWKv,5rebfYbZVIhbRVcRKWVOAh
Red Flag,Cloudy June,148074,49,alt z,Red Flag,2023-10-13,0fNzU26XiTKY2lhmOpokgR,1Hefm7MGT5MeV0bvdDjZHc,5sBBS3CQNPDzmuTJjYwnpa
REMIX RUMBLE,"League of Legends, Steve Aoki",217807,44,"speedrun, video game music",REMIX RUMBLE (Steve Aoki Remix),2023-11-20,1AG7YrtmqKDQTe3wpBXKhp,1Dk05oKAHWIFyN5kIWlTQ5,"47mIJdHORyRerp4os813jD, 77AiFEVeAVj2ORpC85QVJs"
No Way Out (feat. Mira Lu Kovacs),"Camo & Krooked, Mira Lu Kovacs",245485,51,"austrian dnb, dancefloor dnb, drum and bass",No Way Out (feat. Mira Lu Kovacs),2022-09-28,7cuOefq9vNVT3tDS2hRXPd,4xnUOInEhFZEscuG8bL1zp,"2N8IPNZTiNo3nj4mreOlHU, 0T8xnqWlhMlkQX7fFUFQDr"
Solar System,Sub Focus,288000,62,"dancefloor dnb, drum and bass, uk dance",Solar System / Siren,2019-07-26,5cRDn5aGMLvWsldoRmOOz0,3b4pq3F6MCKrIr6Pug0iYG,0QaSiI5TLA4N7mcsdxShDO
The Fall,"The Chainsmokers, Ship Wrek",196021,55,pop,So Far So Good,2022-06-08,5FvGI8KtImlEbOsvEW3pfX,4nZ4dv1XvDE25Lf2MFhOqA,"69GGBxA162lTqCwzJG5jLp, 1ic0FHNGIjXZAWH6O6Reif"
MY GOD!,Tessa Violet,191412,0,"alt z, indie pop, pov: indie",MY GOD!,2023-07-14,1GjA4IUTGtMCP0ztpkG4XD,39w0IKP0nvtYOWZsg2JHXu,5DD5GZd4ElmQTy9NleMvKJ
Houdini,Eminem,227239,89,"detroit hip hop, hip hop, rap",Houdini,2024-05-31,2HYFX63wP3otVIvopRS99Z,6Xuu2z00jxRPZei4IJ9neK,7dGJo4pcD2V6oG8kP0tJRR
Reverse,Caravan Palace,242051,29,"electro swing, nu jazz",Reverse,2023-11-30,2rKk9VeO6P4mmCXrtetLoK,0zz6XbRA6JMtpbE4ZzkHCI,37J1PlAkhRK7yrZUtqaUpQ
Fall In Love With A Girl (feat. Orla Gartland),"Cavetown, Orla Gartland",168974,48,"bedroom pop, indie pop, pov: indie",Fall In Love With A Girl (feat. Orla Gartland),2022-06-10,3oDm8bWMqVw2Hn4R8nYwyZ,4rhuxHJsNJdATS6PHxMvQ6,"2hR4h1Cao2ueuI7Cx9c7V8, 3ajf12ub55b51qcS94d9Co"
Ei niin kovin suuri city,Maustetytöt,243680,31,"finnish indie, suomi rock",Maailman onnellisin kansa,2023-03-17,5KBrwjWmgsOzU0MZyWCDvu,7w8ePqPjWLjVa5THQwcfPf,7JHNSkrbx2b0w8psFeVE4I
Play With Fire,Tessa Violet,176162,0,"alt z, indie pop, pov: indie",MY GOD!,2023-07-14,2cD0d6rr0E4yysz10z98XL,39w0IKP0nvtYOWZsg2JHXu,5DD5GZd4ElmQTy9NleMvKJ
Escapism.,"RAYE, 070 Shake",272373,78,"uk contemporary r&b, uk pop",My 21st Century Blues,2023-02-03,5mHdCZtVyb4DcJw8799hZp,3U8n8LzBx2o9gYXvvNq4uH,"5KKpBU5eC2tJDzf0wmlRp2, 12Zk1DFhCbHY6v3xep2ZjI"
